task,cell,framing,feature_set,n_features,classifier,weighted,n_train,n_pos,n_neg,base_rate,pr_auc_mean,pr_auc_std,pr_auc_minority_mean,pr_auc_minority_std,recall_at_prec90_mean,recall_at_prec90_std,precision_at_recall50_mean,precision_at_recall50_std,logloss_mean,logloss_std,brier_mean,brier_std,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_at_op_mean,balanced_accuracy_at_op_std,oof_pr_auc,chosen_C,seconds
filter,OpenCell/protein/300m,A_model1_filter,TERMINAL,2880,xgboost,True,1757,1310,447,0.7455890722822994,0.8856817532214428,0.0095724713030832,0.5440819160393946,0.0807620379918001,0.4648854961832061,0.132531263731273,0.899536840404136,0.0086114539775069,0.5164319396018981,0.0436731838240705,0.1656531393527984,0.0164555790417389,0.6559724962117964,0.0364574755866696,0.6586100389779951,0.0448014700368646,0.8845196412280945,,41.32242774963379
filter,OpenCell/protein+tag/300m,B_construct,MEANPOOL,960,logreg,False,1757,1310,447,0.7455890722822994,0.8871521070037653,0.0160163658426933,0.5338664846696757,0.0793451162990747,0.482442748091603,0.1562929330329127,0.9123012045309952,0.0218321269172987,0.4858479082584381,0.0243700344125465,0.1584338843822479,0.0111351241573799,0.584029600404075,0.0447110097393633,0.6639304876537915,0.0533029848317062,0.8850746779933056,"0.001,0.001,0.001,0.001,0.001",2.541471004486084
filter,OpenCell/protein+tag/300m,B_construct,MEANPOOL,960,logreg,True,1757,1310,447,0.7455890722822994,0.8874413980559419,0.0159987279075004,0.5278674420169512,0.0788356965393406,0.466412213740458,0.1663570536776705,0.9101761283311148,0.0236949846845716,0.5754528403282165,0.0203017881283638,0.1959065377712249,0.0084261479906963,0.6937041484404036,0.0197178430310461,0.6581499270949481,0.0567590939945497,0.885127274316067,"0.001,0.001,0.001,0.001,0.001",2.624779224395752
filter,OpenCell/protein+tag/300m,B_construct,MEANPOOL,960,xgboost,False,1757,1310,447,0.7455890722822994,0.8837013691957518,0.0132707327095062,0.5221033515430065,0.0842432310584908,0.4343511450381679,0.1021803558749961,0.8938974704420929,0.0155076225768543,0.5479277014732361,0.0536114813988801,0.1694619834423065,0.0195721255490928,0.6118659881255302,0.0452067968801378,0.6477873078499204,0.0338333017189254,0.881511415376721,,12.321678161621094
filter,OpenCell/protein+tag/300m,B_construct,MEANPOOL,960,xgboost,True,1757,1310,447,0.7455890722822994,0.883383058156624,0.0173660292092621,0.5291098859553139,0.0993022313556297,0.4748091603053435,0.1127925561074184,0.893871355958422,0.0318526891817745,0.5276206016540528,0.0500464308822058,0.1714937686920166,0.0205458137788102,0.6537179670450106,0.0583631850047263,0.6623983379554182,0.0386665234657373,0.8815119549179995,,12.193368196487429
filter,OpenCell/protein+tag/300m,B_construct,TERMINAL,3840,logreg,False,1757,1310,447,0.7455890722822994,0.8811640848339097,0.0225676163650377,0.5622268224137581,0.0806663610255053,0.4221374045801527,0.2646775257669532,0.9003590908399154,0.0081183003057932,0.4863952219486236,0.035760773048522,0.1557705909013748,0.0139053209051392,0.6323565009387121,0.0545665831528344,0.6449014114036843,0.0889355605601259,0.8804883221409653,"0.001,0.001,0.001,0.001,0.001",4.4604809284210205
filter,OpenCell/protein+tag/300m,B_construct,TERMINAL,3840,logreg,True,1757,1310,447,0.7455890722822994,0.8802904376357098,0.0204311043083667,0.5514148156880625,0.0728713166368079,0.5152671755725191,0.1499033350126372,0.9030350227051546,0.0099182107665555,0.5526334762573242,0.0283215162280206,0.1858187824487686,0.0110799949254147,0.6881408735264126,0.0372179476222742,0.674787145838694,0.050170429151912,0.8789170324646851,"0.001,0.001,0.001,0.001,0.001",4.698728799819946
filter,OpenCell/protein+tag/300m,B_construct,TERMINAL,3840,xgboost,False,1757,1310,447,0.7455890722822994,0.8880959330303628,0.0185702572575972,0.5692533922514202,0.0795021436200183,0.5877862595419848,0.0916428030804806,0.9061065426370674,0.010311055010015,0.5370729327201843,0.0594324123122267,0.1616511791944503,0.0186639055551363,0.635757688385701,0.0411314614921977,0.6988119812066979,0.0309989953449642,0.8870683576774657,,61.13100743293762
filter,OpenCell/protein+tag/300m,B_construct,TERMINAL,3840,xgboost,True,1757,1310,447,0.7455890722822994,0.8873761337773747,0.0184992242805815,0.5622483154752809,0.0875873834628239,0.4832061068702289,0.1688171002373763,0.9067856457379848,0.0135662601515256,0.5119607031345368,0.0528664671505344,0.163125804066658,0.0186419849830314,0.6548434685650569,0.0481113843220467,0.6643745890156388,0.0569199044949897,0.8854815760734757,,59.89070796966553
filter,OpenCell/protein/6b,A_model1_filter,MEANPOOL,2560,logreg,False,1757,1310,447,0.7455890722822994,0.8957157823848204,0.0166942363207155,0.579262304765431,0.0723486376653843,0.5725190839694656,0.1564652747539666,0.923066913103544,0.0243051303302182,0.4664363086223602,0.0251073823428286,0.1503377169370651,0.0105606227410898,0.641024387454613,0.0397709889942311,0.6955479314978414,0.0530425217243228,0.8952873764617479,"0.001,0.001,0.001,0.001,0.001",3.5769853591918945
